,Trig,Date,Time UT,Ra,Dec,Sat
366,656506979,2021-10-21,11:02:54,25.62,26.65,Fermi
367,656687148,2021-10-23,13:05:43,78.79,82.27,Fermi
368,656732056,2021-10-24,1:34:11,12.67,11.34,Fermi
369,656909146,2021-10-26,2:45:42,211.45,-13.65,Fermi
370,656967216,2021-10-26,18:53:31,226.333,-63.133,Fermi
371,656920888,2021-10-26,6:01:24,208.25,-8.067,Fermi
372,657006717,2021-10-27,5:51:53,282.19,22.38,Fermi
373,657109502,2021-10-28,10:24:58,214.4,-11.8,Fermi
374,657129008,2021-10-28,15:50:04,214.633,-11.867,Fermi
375,657179452,2021-10-29,5:50:48,208.5,33.883,Fermi
376,657231385,2021-10-29,20:16:20,206.45,-66.217,Fermi
377,657346304,2021-10-31,4:11:39,71.98,-54.27,Fermi
378,657422976,2021-11-01,1:29:32,221.983,-12.85,Fermi
379,657502760,2021-11-01,23:39:15,28.3,44.783,Fermi
380,657438208,2021-11-01,5:43:23,165.33,47.25,Fermi
381,657554740,2021-11-02,14:05:35,302.13,-3.2,Fermi
382,657533168,2021-11-02,8:06:03,30.81,56.84,Fermi
383,657514783,2021-11-02,2:59:39,201.683,11.383,Fermi
384,657672429,2021-11-03,22:47:04,25.467,80.05,Fermi
385,657611102,2021-11-03,5:44:58,156.1,42.283,Fermi
386,657742914,2021-11-04,18:21:49,247.68,-52.34,Fermi
387,657744375,2021-11-04,18:46:11,17.25,13.32,Fermi
388,657723466,2021-11-04,12:57:42,332.783,-36.933,Fermi
389,657694892,2021-11-04,5:01:28,274.417,76.55,Fermi
390,657707352,2021-11-04,8:29:08,65.533,77.9,Fermi
391,657831458,2021-11-05,18:57:33,306.2,-52.4,Fermi
392,657780594,2021-11-05,4:49:50,150.283,22.733,Fermi
393,657880886,2021-11-06,8:41:22,89.217,-77.967,Fermi
394,658009245,2021-11-07,20:20:40,212.28,-65.13,Fermi
395,658118572,2021-11-09,2:42:47,254.47,-44.88,Fermi
396,658111189,2021-11-09,0:39:44,139.23,-14.97,Fermi
397,658214822,2021-11-10,5:26:58,175.65,60.167,Fermi
398,658420467,2021-11-12,14:34:22,138.38,-2.54,Fermi
399,658395813,2021-11-12,7:43:28,301.483,-8.583,Fermi
400,658493383,2021-11-13,10:49:39,261.467,-65.267,Fermi
401,658485628,2021-11-13,8:40:24,245.933,-24.767,Fermi
402,658526810,2021-11-13,20:06:45,219.05,-63.567,Fermi
403,658710179,2021-11-15,23:02:55,325.33,-9.48,Fermi
404,658686687,2021-11-15,16:31:22,120.87,-11.9,Fermi
405,658738913,2021-11-16,7:01:49,287.933,84.8,Fermi
406,658755664,2021-11-16,11:41:00,16.85,-54.57,Fermi
407,658764238,2021-11-16,14:03:53,276.24,-33.6,Fermi
